id;product_name;price_product;quantity_order;amount;order_date
1;action-items;27499;45920;93211;2019-12-28
2;Concrete magenta GB;62974;76172;31300;2019-12-27
3;withdrawal;89898;33598;40781;2019-12-28
4;District scalable;20464;18712;63390;2019-12-27
5;ADP index;54931;58318;67597;2019-12-28
6;disintermediate;8196;29843;56073;2019-12-27
7;Usability Digitized SMTP;85902;39807;14215;2019-12-27
8;Personal Loan Account Licensed Granite Chips payment;31800;18821;94976;2019-12-27
9;Oregon Auto Loan Account;98441;38433;15798;2019-12-27
10;Movies array navigating;11018;75665;50322;2019-12-28
